CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
-1.01379310	-1.01379310	NAN	0
-0.94137931	-1.01379310	NAN	0
-0.86896552	-1.01379310	NAN	0
-0.79655172	-1.01379310	NAN	0
-0.72413793	-1.01379310	NAN	0
-0.65172414	-1.01379310	NAN	0
-0.57931034	-1.01379310	NAN	0
-0.50689655	-1.01379310	NAN	0
-0.43448276	-1.01379310	NAN	0
-0.36206897	-1.01379310	NAN	0
-0.28965517	-1.01379310	NAN	0
-0.21724138	-1.01379310	NAN	0
-0.14482759	-1.01379310	NAN	0
-0.07241379	-1.01379310	NAN	0
0.00000000	-1.01379310	NAN	0
0.07241379	-1.01379310	NAN	0
0.14482759	-1.01379310	NAN	0
0.21724138	-1.01379310	NAN	0
0.28965517	-1.01379310	NAN	0
0.36206897	-1.01379310	NAN	0
0.43448276	-1.01379310	NAN	0
0.50689655	-1.01379310	NAN	0
0.57931034	-1.01379310	NAN	0
0.65172414	-1.01379310	NAN	0
0.72413793	-1.01379310	NAN	0
0.79655172	-1.01379310	NAN	0
0.86896552	-1.01379310	NAN	0
0.94137931	-1.01379310	NAN	0
1.01379310	-1.01379310	NAN	0
-1.01379310	-0.94137931	NAN	0
-0.94137931	-0.94137931	NAN	0
-0.86896552	-0.94137931	NAN	0
-0.79655172	-0.94137931	NAN	0
-0.72413793	-0.94137931	NAN	0
-0.65172414	-0.94137931	NAN	0
-0.57931034	-0.94137931	NAN	0
-0.50689655	-0.94137931	NAN	0
-0.43448276	-0.94137931	NAN	0
-0.36206897	-0.94137931	NAN	0
-0.28965517	-0.94137931	NAN	109
-0.21724138	-0.94137931	NAN	101
-0.14482759	-0.94137931	NAN	96
-0.07241379	-0.94137931	NAN	94
0.00000000	-0.94137931	NAN	94
0.07241379	-0.94137931	NAN	97
0.14482759	-0.94137931	NAN	104
0.21724138	-0.94137931	NAN	119
0.28965517	-0.94137931	NAN	148
0.36206897	-0.94137931	NAN	0
0.43448276	-0.94137931	NAN	0
0.50689655	-0.94137931	NAN	0
0.57931034	-0.94137931	NAN	0
0.65172414	-0.94137931	NAN	0
0.72413793	-0.94137931	NAN	0
0.79655172	-0.94137931	NAN	0
0.86896552	-0.94137931	NAN	0
0.94137931	-0.94137931	NAN	0
1.01379310	-0.94137931	NAN	0
-1.01379310	-0.86896552	NAN	0
-0.94137931	-0.86896552	NAN	0
-0.86896552	-0.86896552	NAN	0
-0.79655172	-0.86896552	NAN	0
-0.72413793	-0.86896552	NAN	0
-0.65172414	-0.86896552	NAN	0
-0.57931034	-0.86896552	NAN	0
-0.50689655	-0.86896552	NAN	0
-0.43448276	-0.86896552	NAN	171
-0.36206897	-0.86896552	NAN	133
-0.28965517	-0.86896552	NAN	111
-0.21724138	-0.86896552	NAN	99
-0.14482759	-0.86896552	NAN	92
-0.07241379	-0.86896552	NAN	87
0.00000000	-0.86896552	NAN	85
0.07241379	-0.86896552	NAN	85
0.14482759	-0.86896552	NAN	88
0.21724138	-0.86896552	NAN	94
0.28965517	-0.86896552	NAN	105
0.36206897	-0.86896552	NAN	127
0.43448276	-0.86896552	NAN	173
0.50689655	-0.86896552	NAN	0
0.57931034	-0.86896552	NAN	0
0.65172414	-0.86896552	NAN	0
0.72413793	-0.86896552	NAN	0
0.79655172	-0.86896552	NAN	0
0.86896552	-0.86896552	NAN	0
0.94137931	-0.86896552	NAN	0
1.01379310	-0.86896552	NAN	0
-1.01379310	-0.79655172	NAN	0
-0.94137931	-0.79655172	NAN	0
-0.86896552	-0.79655172	NAN	0
-0.79655172	-0.79655172	NAN	0
-0.72413793	-0.79655172	NAN	0
-0.65172414	-0.79655172	NAN	0
-0.57931034	-0.79655172	NAN	259
-0.50689655	-0.79655172	NAN	327
-0.43448276	-0.79655172	NAN	200
-0.36206897	-0.79655172	NAN	139
-0.28965517	-0.79655172	NAN	112
-0.21724138	-0.79655172	NAN	98
-0.14482759	-0.79655172	NAN	89
-0.07241379	-0.79655172	NAN	83
0.00000000	-0.79655172	NAN	80
0.07241379	-0.79655172	NAN	78
0.14482759	-0.79655172	NAN	79
0.21724138	-0.79655172	NAN	82
0.28965517	-0.79655172	NAN	88
0.36206897	-0.79655172	NAN	99
0.43448276	-0.79655172	NAN	118
0.50689655	-0.79655172	NAN	155
0.57931034	-0.79655172	NAN	263
0.65172414	-0.79655172	NAN	0
0.72413793	-0.79655172	NAN	0
0.79655172	-0.79655172	NAN	0
0.86896552	-0.79655172	NAN	0
0.94137931	-0.79655172	NAN	0
1.01379310	-0.79655172	NAN	0
-1.01379310	-0.72413793	NAN	0
-0.94137931	-0.72413793	NAN	0
-0.86896552	-0.72413793	NAN	0
-0.79655172	-0.72413793	NAN	0
-0.72413793	-0.72413793	NAN	0
-0.65172414	-0.72413793	NAN	295
-0.57931034	-0.72413793	NAN	309
-0.50689655	-0.72413793	NAN	214
-0.43448276	-0.72413793	NAN	166
-0.36206897	-0.72413793	NAN	132
-0.28965517	-0.72413793	NAN	110
-0.21724138	-0.72413793	NAN	96
-0.14482759	-0.72413793	NAN	86
-0.07241379	-0.72413793	NAN	80
0.00000000	-0.72413793	NAN	76
0.07241379	-0.72413793	NAN	74
0.14482759	-0.72413793	NAN	73
0.21724138	-0.72413793	NAN	74
0.28965517	-0.72413793	NAN	78
0.36206897	-0.72413793	NAN	86
0.43448276	-0.72413793	NAN	98
0.50689655	-0.72413793	NAN	117
0.57931034	-0.72413793	NAN	152
0.65172414	-0.72413793	NAN	243
0.72413793	-0.72413793	NAN	0
0.79655172	-0.72413793	NAN	0
0.86896552	-0.72413793	NAN	0
0.94137931	-0.72413793	NAN	0
1.01379310	-0.72413793	NAN	0
-1.01379310	-0.65172414	NAN	0
-0.94137931	-0.65172414	NAN	0
-0.86896552	-0.65172414	NAN	0
-0.79655172	-0.65172414	NAN	0
-0.72413793	-0.65172414	NAN	409
-0.65172414	-0.65172414	NAN	404
-0.57931034	-0.65172414	NAN	272
-0.50689655	-0.65172414	NAN	189
-0.43448276	-0.65172414	NAN	150
-0.36206897	-0.65172414	NAN	124
-0.28965517	-0.65172414	NAN	106
-0.21724138	-0.65172414	NAN	93
-0.14482759	-0.65172414	NAN	84
-0.07241379	-0.65172414	NAN	77
0.00000000	-0.65172414	NAN	73
0.07241379	-0.65172414	NAN	70
0.14482759	-0.65172414	NAN	69
0.21724138	-0.65172414	NAN	69
0.28965517	-0.65172414	NAN	72
0.36206897	-0.65172414	NAN	78
0.43448276	-0.65172414	NAN	86
0.50689655	-0.65172414	NAN	100
0.57931034	-0.65172414	NAN	120
0.65172414	-0.65172414	NAN	157
0.72413793	-0.65172414	NAN	256
0.79655172	-0.65172414	NAN	0
0.86896552	-0.65172414	NAN	0
0.94137931	-0.65172414	NAN	0
1.01379310	-0.65172414	NAN	0
-1.01379310	-0.57931034	NAN	0
-0.94137931	-0.57931034	NAN	0
-0.86896552	-0.57931034	NAN	0
-0.79655172	-0.57931034	NAN	414
-0.72413793	-0.57931034	NAN	353
-0.65172414	-0.57931034	NAN	290
-0.57931034	-0.57931034	NAN	212
-0.50689655	-0.57931034	NAN	166
-0.43448276	-0.57931034	NAN	136
-0.36206897	-0.57931034	NAN	116
-0.28965517	-0.57931034	NAN	100
-0.21724138	-0.57931034	NAN	89
-0.14482759	-0.57931034	NAN	81
-0.07241379	-0.57931034	NAN	74
0.00000000	-0.57931034	NAN	70
0.07241379	-0.57931034	NAN	67
0.14482759	-0.57931034	NAN	65
0.21724138	-0.57931034	NAN	65
0.28965517	-0.57931034	NAN	68
0.36206897	-0.57931034	NAN	72
0.43448276	-0.57931034	NAN	79
0.50689655	-0.57931034	NAN	90
0.57931034	-0.57931034	NAN	105
0.65172414	-0.57931034	NAN	128
0.72413793	-0.57931034	NAN	171
0.79655172	-0.57931034	NAN	306
0.86896552	-0.57931034	NAN	0
0.94137931	-0.57931034	NAN	0
1.01379310	-0.57931034	NAN	0
-1.01379310	-0.50689655	NAN	0
-0.94137931	-0.50689655	NAN	0
-0.86896552	-0.50689655	NAN	0
-0.79655172	-0.50689655	NAN	356
-0.72413793	-0.50689655	NAN	256
-0.65172414	-0.50689655	NAN	208
-0.57931034	-0.50689655	NAN	172
-0.50689655	-0.50689655	NAN	145
-0.43448276	-0.50689655	NAN	123
-0.36206897	-0.50689655	NAN	107
-0.28965517	-0.50689655	NAN	95
-0.21724138	-0.50689655	NAN	85
-0.14482759	-0.50689655	NAN	77
-0.07241379	-0.50689655	NAN	72
0.00000000	-0.50689655	NAN	67
0.07241379	-0.50689655	NAN	64
0.14482759	-0.50689655	NAN	62
0.21724138	-0.50689655	NAN	62
0.28965517	-0.50689655	NAN	64
0.36206897	-0.50689655	NAN	68
0.43448276	-0.50689655	NAN	74
0.50689655	-0.50689655	NAN	84
0.57931034	-0.50689655	NAN	96
0.65172414	-0.50689655	NAN	114
0.72413793	-0.50689655	NAN	141
0.79655172	-0.50689655	NAN	197
0.86896552	-0.50689655	NAN	0
0.94137931	-0.50689655	NAN	0
1.01379310	-0.50689655	NAN	0
-1.01379310	-0.43448276	NAN	0
-0.94137931	-0.43448276	NAN	0
-0.86896552	-0.43448276	NAN	231
-0.79655172	-0.43448276	NAN	234
-0.72413793	-0.43448276	NAN	194
-0.65172414	-0.43448276	NAN	167
-0.57931034	-0.43448276	NAN	145
-0.50689655	-0.43448276	NAN	127
-0.43448276	-0.43448276	NAN	111
-0.36206897	-0.43448276	NAN	99
-0.28965517	-0.43448276	NAN	89
-0.21724138	-0.43448276	NAN	80
-0.14482759	-0.43448276	NAN	74
-0.07241379	-0.43448276	NAN	69
0.00000000	-0.43448276	NAN	64
0.07241379	-0.43448276	NAN	61
0.14482759	-0.43448276	NAN	60
0.21724138	-0.43448276	NAN	60
0.28965517	-0.43448276	NAN	61
0.36206897	-0.43448276	NAN	65
0.43448276	-0.43448276	NAN	71
0.50689655	-0.43448276	NAN	79
0.57931034	-0.43448276	NAN	90
0.65172414	-0.43448276	NAN	105
0.72413793	-0.43448276	NAN	127
0.79655172	-0.43448276	NAN	163
0.86896552	-0.43448276	NAN	247
0.94137931	-0.43448276	NAN	0
1.01379310	-0.43448276	NAN	0
-1.01379310	-0.36206897	NAN	0
-0.94137931	-0.36206897	NAN	0
-0.86896552	-0.36206897	NAN	213
-0.79655172	-0.36206897	NAN	186
-0.72413793	-0.36206897	NAN	158
-0.65172414	-0.36206897	NAN	141
-0.57931034	-0.36206897	NAN	126
-0.50689655	-0.36206897	NAN	113
-0.43448276	-0.36206897	NAN	101
-0.36206897	-0.36206897	NAN	91
-0.28965517	-0.36206897	NAN	83
-0.21724138	-0.36206897	NAN	76
-0.14482759	-0.36206897	NAN	70
-0.07241379	-0.36206897	NAN	66
0.00000000	-0.36206897	NAN	62
0.07241379	-0.36206897	NAN	59
0.14482759	-0.36206897	NAN	57
0.21724138	-0.36206897	NAN	57
0.28965517	-0.36206897	NAN	59
0.36206897	-0.36206897	NAN	63
0.43448276	-0.36206897	NAN	69
0.50689655	-0.36206897	NAN	77
0.57931034	-0.36206897	NAN	87
0.65172414	-0.36206897	NAN	100
0.72413793	-0.36206897	NAN	118
0.79655172	-0.36206897	NAN	147
0.86896552	-0.36206897	NAN	200
0.94137931	-0.36206897	NAN	0
1.01379310	-0.36206897	NAN	0
-1.01379310	-0.28965517	NAN	0
-0.94137931	-0.28965517	NAN	207
-0.86896552	-0.28965517	NAN	175
-0.79655172	-0.28965517	NAN	150
-0.72413793	-0.28965517	NAN	135
-0.65172414	-0.28965517	NAN	122
-0.57931034	-0.28965517	NAN	111
-0.50689655	-0.28965517	NAN	101
-0.43448276	-0.28965517	NAN	92
-0.36206897	-0.28965517	NAN	84
-0.28965517	-0.28965517	NAN	77
-0.21724138	-0.28965517	NAN	72
-0.14482759	-0.28965517	NAN	67
-0.07241379	-0.28965517	NAN	62
0.00000000	-0.28965517	NAN	59
0.07241379	-0.28965517	NAN	56
0.14482759	-0.28965517	NAN	55
0.21724138	-0.28965517	NAN	55
0.28965517	-0.28965517	NAN	58
0.36206897	-0.28965517	NAN	62
0.43448276	-0.28965517	NAN	68
0.50689655	-0.28965517	NAN	75
0.57931034	-0.28965517	NAN	85
0.65172414	-0.28965517	NAN	97
0.72413793	-0.28965517	NAN	114
0.79655172	-0.28965517	NAN	139
0.86896552	-0.28965517	NAN	180
0.94137931	-0.28965517	NAN	275
1.01379310	-0.28965517	NAN	0
-1.01379310	-0.21724138	NAN	0
-0.94137931	-0.21724138	NAN	209
-0.86896552	-0.21724138	NAN	155
-0.79655172	-0.21724138	NAN	132
-0.72413793	-0.21724138	NAN	119
-0.65172414	-0.21724138	NAN	109
-0.57931034	-0.21724138	NAN	100
-0.50689655	-0.21724138	NAN	92
-0.43448276	-0.21724138	NAN	85
-0.36206897	-0.21724138	NAN	79
-0.28965517	-0.21724138	NAN	73
-0.21724138	-0.21724138	NAN	68
-0.14482759	-0.21724138	NAN	63
-0.07241379	-0.21724138	NAN	59
0.00000000	-0.21724138	NAN	56
0.07241379	-0.21724138	NAN	54
0.14482759	-0.21724138	NAN	53
0.21724138	-0.21724138	NAN	54
0.28965517	-0.21724138	NAN	57
0.36206897	-0.21724138	NAN	62
0.43448276	-0.21724138	NAN	68
0.50689655	-0.21724138	NAN	75
0.57931034	-0.21724138	NAN	84
0.65172414	-0.21724138	NAN	96
0.72413793	-0.21724138	NAN	111
0.79655172	-0.21724138	NAN	134
0.86896552	-0.21724138	NAN	171
0.94137931	-0.21724138	NAN	244
1.01379310	-0.21724138	NAN	0
-1.01379310	-0.14482759	NAN	0
-0.94137931	-0.14482759	NAN	189
-0.86896552	-0.14482759	NAN	142
-0.79655172	-0.14482759	NAN	118
-0.72413793	-0.14482759	NAN	106
-0.65172414	-0.14482759	NAN	98
-0.57931034	-0.14482759	NAN	92
-0.50689655	-0.14482759	NAN	85
-0.43448276	-0.14482759	NAN	79
-0.36206897	-0.14482759	NAN	74
-0.28965517	-0.14482759	NAN	69
-0.21724138	-0.14482759	NAN	64
-0.14482759	-0.14482759	NAN	60
-0.07241379	-0.14482759	NAN	57
0.00000000	-0.14482759	NAN	54
0.07241379	-0.14482759	NAN	52
0.14482759	-0.14482759	NAN	51
0.21724138	-0.14482759	NAN	53
0.28965517	-0.14482759	NAN	57
0.36206897	-0.14482759	NAN	62
0.43448276	-0.14482759	NAN	68
0.50689655	-0.14482759	NAN	75
0.57931034	-0.14482759	NAN	84
0.65172414	-0.14482759	NAN	95
0.72413793	-0.14482759	NAN	111
0.79655172	-0.14482759	NAN	133
0.86896552	-0.14482759	NAN	168
0.94137931	-0.14482759	NAN	233
1.01379310	-0.14482759	NAN	0
-1.01379310	-0.07241379	NAN	0
-0.94137931	-0.07241379	NAN	137
-0.86896552	-0.07241379	NAN	119
-0.79655172	-0.07241379	NAN	105
-0.72413793	-0.07241379	NAN	97
-0.65172414	-0.07241379	NAN	90
-0.57931034	-0.07241379	NAN	85
-0.50689655	-0.07241379	NAN	80
-0.43448276	-0.07241379	NAN	75
-0.36206897	-0.07241379	NAN	70
-0.28965517	-0.07241379	NAN	66
-0.21724138	-0.07241379	NAN	62
-0.14482759	-0.07241379	NAN	58
-0.07241379	-0.07241379	NAN	54
0.00000000	-0.07241379	NAN	52
0.07241379	-0.07241379	NAN	50
0.14482759	-0.07241379	NAN	51
0.21724138	-0.07241379	NAN	54
0.28965517	-0.07241379	NAN	58
0.36206897	-0.07241379	NAN	63
0.43448276	-0.07241379	NAN	68
0.50689655	-0.07241379	NAN	76
0.57931034	-0.07241379	NAN	85
0.65172414	-0.07241379	NAN	96
0.72413793	-0.07241379	NAN	112
0.79655172	-0.07241379	NAN	135
0.86896552	-0.07241379	NAN	169
0.94137931	-0.07241379	NAN	233
1.01379310	-0.07241379	NAN	0
-1.01379310	0.00000000	NAN	0
-0.94137931	0.00000000	NAN	112
-0.86896552	0.00000000	NAN	103
-0.79655172	0.00000000	NAN	94
-0.72413793	0.00000000	NAN	88
-0.65172414	0.00000000	NAN	84
