GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.B.X d	CENTER.B.Y d	CENTER.C.X d	CENTER.C.Y d	COUNT i
1	0.58778525	0.80901699	0.50000000	0.86602540	0.49384417	0.85536319	0
1	0.66913061	0.74314483	0.58778525	0.80901699	0.58980658	0.79224773	0
1	0.74314483	0.66913061	0.66913061	0.74314483	0.67779286	0.71841847	0
1	0.80901699	0.58778525	0.74314483	0.66913061	0.75661316	0.63487383	0
1	0.86602540	0.50000000	0.80901699	0.58778525	0.82520157	0.54274361	0
1	0.91354546	0.40673664	0.86602540	0.50000000	0.88263054	0.44327372	0
1	0.95105652	0.30901699	0.91354546	0.40673664	0.92812345	0.33780931	0
1	0.97814760	0.20791169	0.95105652	0.30901699	0.96106507	0.22777661	0
1	0.99452190	0.10452846	0.97814760	0.20791169	0.98100995	0.11466362	0
2	0.58778525	0.80901699	0.49384417	0.85536319	0.58980658	0.79224773	0
2	0.66913061	0.74314483	0.58980658	0.79224773	0.67779286	0.71841847	0
2	0.74314483	0.66913061	0.67779286	0.71841847	0.75661316	0.63487383	0
2	0.80901699	0.58778525	0.75661316	0.63487383	0.82520157	0.54274361	0
2	0.86602540	0.50000000	0.82520157	0.54274361	0.88263054	0.44327372	0
2	0.91354546	0.40673664	0.88263054	0.44327372	0.92812345	0.33780931	0
2	0.95105652	0.30901699	0.92812345	0.33780931	0.96106507	0.22777661	0
2	0.97814760	0.20791169	0.96106507	0.22777661	0.98100995	0.11466362	0
3	1.00000000	0.00000000	0.99452190	0.10452846	0.98768834	0.00000000	0
4	0.98768834	0.00000000	0.99452190	0.10452846	0.98100995	0.11466362	0
1	0.58980658	0.79224773	0.49384417	0.85536319	0.47552826	0.82363910	0
1	0.67779286	0.71841847	0.58980658	0.79224773	0.57896652	0.75452386	0
1	0.75661316	0.63487383	0.67779286	0.71841847	0.67249851	0.67249851	0
1	0.82520157	0.54274361	0.75661316	0.63487383	0.75452386	0.57896652	0
1	0.88263054	0.44327372	0.82520157	0.54274361	0.82363910	0.47552826	0
1	0.92812345	0.33780931	0.88263054	0.44327372	0.87866165	0.36395357	0
1	0.96106507	0.22777661	0.92812345	0.33780931	0.91865005	0.24615154	0
1	0.98100995	0.11466362	0.96106507	0.22777661	0.94292010	0.12413779	0
2	0.58980658	0.79224773	0.47552826	0.82363910	0.57896652	0.75452386	0
2	0.67779286	0.71841847	0.57896652	0.75452386	0.67249851	0.67249851	0
2	0.75661316	0.63487383	0.67249851	0.67249851	0.75452386	0.57896652	0
2	0.82520157	0.54274361	0.75452386	0.57896652	0.82363910	0.47552826	0
2	0.88263054	0.44327372	0.82363910	0.47552826	0.87866165	0.36395357	0
2	0.92812345	0.33780931	0.87866165	0.36395357	0.91865005	0.24615154	0
2	0.96106507	0.22777661	0.91865005	0.24615154	0.94292010	0.12413779	0
3	0.98768834	0.00000000	0.98100995	0.11466362	0.95105652	0.00000000	0
4	0.95105652	0.00000000	0.98100995	0.11466362	0.94292010	0.12413779	0
1	0.57896652	0.75452386	0.47552826	0.82363910	0.44550326	0.77163428	0
1	0.67249851	0.67249851	0.57896652	0.75452386	0.55553348	0.69661695	0
1	0.75452386	0.57896652	0.67249851	0.67249851	0.65315400	0.60603835	0
1	0.82363910	0.47552826	0.75452386	0.57896652	0.73618414	0.50192185	0
1	0.87866165	0.36395357	0.82363910	0.47552826	0.80276914	0.38659324	0
1	0.91865005	0.24615154	0.87866165	0.36395357	0.85142160	0.26262878	0
1	0.94292010	0.12413779	0.91865005	0.24615154	0.88105472	0.13279763	0
2	0.57896652	0.75452386	0.44550326	0.77163428	0.55553348	0.69661695	0
2	0.67249851	0.67249851	0.55553348	0.69661695	0.65315400	0.60603835	0
2	0.75452386	0.57896652	0.65315400	0.60603835	0.73618414	0.50192185	0
2	0.82363910	0.47552826	0.73618414	0.50192185	0.80276914	0.38659324	0
2	0.87866165	0.36395357	0.80276914	0.38659324	0.85142160	0.26262878	0
2	0.91865005	0.24615154	0.85142160	0.26262878	0.88105472	0.13279763	0
3	0.95105652	0.00000000	0.94292010	0.12413779	0.89100652	0.00000000	0
4	0.89100652	0.00000000	0.94292010	0.12413779	0.88105472	0.13279763	0
1	0.55553348	0.69661695	0.44550326	0.77163428	0.40450850	0.70062927	0
1	0.65315400	0.60603835	0.55553348	0.69661695	0.52002610	0.61974297	0
1	0.73618414	0.50192185	0.65315400	0.60603835	0.61974297	0.52002610	0
1	0.80276914	0.38659324	0.73618414	0.50192185	0.70062927	0.40450850	0
1	0.85142160	0.26262878	0.80276914	0.38659324	0.76022730	0.27670011	0
1	0.88105472	0.13279763	0.85142160	0.26262878	0.79672621	0.14048433	0
2	0.55553348	0.69661695	0.40450850	0.70062927	0.52002610	0.61974297	0
2	0.65315400	0.60603835	0.52002610	0.61974297	0.61974297	0.52002610	0
2	0.73618414	0.50192185	0.61974297	0.52002610	0.70062927	0.40450850	0
2	0.80276914	0.38659324	0.70062927	0.40450850	0.76022730	0.27670011	0
2	0.85142160	0.26262878	0.76022730	0.27670011	0.79672621	0.14048433	0
3	0.89100652	0.00000000	0.88105472	0.13279763	0.80901699	0.00000000	0
4	0.80901699	0.00000000	0.88105472	0.13279763	0.79672621	0.14048433	0
1	0.52002610	0.61974297	0.40450850	0.70062927	0.35355339	0.61237244	0
1	0.61974297	0.52002610	0.52002610	0.61974297	0.47314679	0.52548275	0
1	0.70062927	0.40450850	0.61974297	0.52002610	0.57206140	0.41562694	0
1	0.76022730	0.27670011	0.70062927	0.40450850	0.64597419	0.28760624	0
1	0.79672621	0.14048433	0.76022730	0.27670011	0.69165480	0.14701577	0
2	0.52002610	0.61974297	0.35355339	0.61237244	0.47314679	0.52548275	0
2	0.61974297	0.52002610	0.47314679	0.52548275	0.57206140	0.41562694	0
2	0.70062927	0.40450850	0.57206140	0.41562694	0.64597419	0.28760624	0
2	0.76022730	0.27670011	0.64597419	0.28760624	0.69165480	0.14701577	0
3	0.80901699	0.00000000	0.79672621	0.14048433	0.70710678	0.00000000	0
4	0.70710678	0.00000000	0.79672621	0.14048433	0.69165480	0.14701577	0
1	0.47314679	0.52548275	0.35355339	0.61237244	0.29389263	0.50903696	0
1	0.57206140	0.41562694	0.47314679	0.52548275	0.41562694	0.41562694	0
1	0.64597419	0.28760624	0.57206140	0.41562694	0.50903696	0.29389263	0
1	0.69165480	0.14701577	0.64597419	0.28760624	0.56775696	0.15213002	0
2	0.47314679	0.52548275	0.29389263	0.50903696	0.41562694	0.41562694	0
2	0.57206140	0.41562694	0.41562694	0.41562694	0.50903696	0.29389263	0
2	0.64597419	0.28760624	0.50903696	0.29389263	0.56775696	0.15213002	0
3	0.70710678	0.00000000	0.69165480	0.14701577	0.58778525	0.00000000	0
4	0.58778525	0.00000000	0.69165480	0.14701577	0.56775696	0.15213002	0
1	0.41562694	0.41562694	0.29389263	0.50903696	0.22699525	0.39316731	0
1	0.50903696	0.29389263	0.41562694	0.41562694	0.34777690	0.29181947	0
1	0.56775696	0.15213002	0.50903696	0.29389263	0.42661152	0.15527390	0
2	0.41562694	0.41562694	0.22699525	0.39316731	0.34777690	0.29181947	0
2	0.50903696	0.29389263	0.34777690	0.29181947	0.42661152	0.15527390	0
3	0.58778525	0.00000000	0.56775696	0.15213002	0.45399050	0.00000000	0
4	0.45399050	0.00000000	0.56775696	0.15213002	0.42661152	0.15527390	0
1	0.34777690	0.29181947	0.22699525	0.39316731	0.15450850	0.26761657	0
1	0.42661152	0.15527390	0.34777690	0.29181947	0.26761657	0.15450850	0
2	0.34777690	0.29181947	0.15450850	0.26761657	0.26761657	0.15450850	0
3	0.45399050	0.00000000	0.42661152	0.15527390	0.30901699	0.00000000	0
4	0.30901699	0.00000000	0.42661152	0.15527390	0.26761657	0.15450850	0
1	0.26761657	0.15450850	0.15450850	0.26761657	0.07821723	0.13547622	0
3	0.30901699	0.00000000	0.26761657	0.15450850	0.15643447	0.00000000	0
4	0.15643447	0.00000000	0.26761657	0.15450850	0.07821723	0.13547622	0
5	0.15643447	0.00000000	0.07821723	0.13547622	0.00000000	0.00000000	0
6	0.50000000	0.86602540	0.58778525	0.80901699	0.58903571	0.90703546	0
6	0.58778525	0.80901699	0.66913061	0.74314483	0.68061994	0.84049563	0
6	0.66913061	0.74314483	0.74314483	0.66913061	0.76474715	0.76474715	0
6	0.74314483	0.66913061	0.80901699	0.58778525	0.84049563	0.68061994	0
6	0.80901699	0.58778525	0.86602540	0.50000000	0.90703546	0.58903571	0
6	0.86602540	0.50000000	0.91354546	0.40673664	0.96363762	0.49099789	0
6	0.91354546	0.40673664	0.95105652	0.30901699	1.00968197	0.38758059	0
6	0.95105652	0.30901699	0.97814760	0.20791169	1.04466403	0.27991688	0
6	0.97814760	0.20791169	0.99452190	0.10452846	1.06820053	0.16918634	0
7	0.99452190	0.10452846	1.00000000	0.00000000	1.08003361	0.05660216	0
1	0.99452190	-0.10452846	1.00000000	0.00000000	0.98768834	0.00000000	0
1	0.97814760	-0.20791169	0.99452190	-0.10452846	0.98100995	-0.11466362	0
1	0.95105652	-0.30901699	0.97814760	-0.20791169	0.96106507	-0.22777661	0
1	0.91354546	-0.40673664	0.95105652	-0.30901699	0.92812345	-0.33780931	0
1	0.86602540	-0.50000000	0.91354546	-0.40673664	0.88263054	-0.44327372	0
1	0.80901699	-0.58778525	0.86602540	-0.50000000	0.82520157	-0.54274361	0
1	0.74314483	-0.66913061	0.80901699	-0.58778525	0.75661316	-0.63487383	0
1	0.66913061	-0.74314483	0.74314483	-0.66913061	0.67779286	-0.71841846	0
1	0.58778525	-0.80901699	0.66913061	-0.74314483	0.58980658	-0.79224773	0
2	0.99452190	-0.10452846	0.98768834	0.00000000	0.98100995	-0.11466362	0
2	0.97814760	-0.20791169	0.98100995	-0.11466362	0.96106507	-0.22777661	0
2	0.95105652	-0.30901699	0.96106507	-0.22777661	0.92812345	-0.33780931	0
2	0.91354546	-0.40673664	0.92812345	-0.33780931	0.88263054	-0.44327372	0
2	0.86602540	-0.50000000	0.88263054	-0.44327372	0.82520157	-0.54274361	0
2	0.80901699	-0.58778525	0.82520157	-0.54274361	0.75661316	-0.63487383	0
2	0.74314483	-0.66913061	0.75661316	-0.63487383	0.67779286	-0.71841846	0
2	0.66913061	-0.74314483	0.67779286	-0.71841846	0.58980658	-0.79224773	0
3	0.50000000	-0.86602540	0.58778525	-0.80901699	0.49384417	-0.85536319	0
4	0.49384417	-0.85536319	0.58778525	-0.80901699	0.58980658	-0.79224773	0
1	0.98100995	-0.11466362	0.98768834	0.00000000	0.95105652	0.00000000	0
1	0.96106507	-0.22777661	0.98100995	-0.11466362	0.94292010	-0.12413779	0
1	0.92812345	-0.33780931	0.96106507	-0.22777661	0.91865005	-0.24615154	0
1	0.88263054	-0.44327372	0.92812345	-0.33780931	0.87866165	-0.36395357	0
1	0.82520157	-0.54274361	0.88263054	-0.44327372	0.82363910	-0.47552826	0
1	0.75661316	-0.63487383	0.82520157	-0.54274361	0.75452386	-0.57896652	0
1	0.67779286	-0.71841846	0.75661316	-0.63487383	0.67249851	-0.67249851	0
1	0.58980658	-0.79224773	0.67779286	-0.71841846	0.57896652	-0.75452386	0
2	0.98100995	-0.11466362	0.95105652	0.00000000	0.94292010	-0.12413779	0
2	0.96106507	-0.22777661	0.94292010	-0.12413779	0.91865005	-0.24615154	0
2	0.92812345	-0.33780931	0.91865005	-0.24615154	0.87866165	-0.36395357	0
2	0.88263054	-0.44327372	0.87866165	-0.36395357	0.82363910	-0.47552826	0
2	0.82520157	-0.54274361	0.82363910	-0.47552826	0.75452386	-0.57896652	0
2	0.75661316	-0.63487383	0.75452386	-0.57896652	0.67249851	-0.67249851	0
2	0.67779286	-0.71841846	0.67249851	-0.67249851	0.57896652	-0.75452386	0
3	0.49384417	-0.85536319	0.58980658	-0.79224773	0.47552826	-0.82363910	0
4	0.47552826	-0.82363910	0.58980658	-0.79224773	0.57896652	-0.75452386	0
1	0.94292010	-0.12413779	0.95105652	0.00000000	0.89100652	0.00000000	0
1	0.91865005	-0.24615154	0.94292010	-0.12413779	0.88105472	-0.13279763	0
1	0.87866165	-0.36395357	0.91865005	-0.24615154	0.85142160	-0.26262878	0
1	0.82363910	-0.47552826	0.87866165	-0.36395357	0.80276914	-0.38659324	0
1	0.75452386	-0.57896652	0.82363910	-0.47552826	0.73618414	-0.50192185	0
1	0.67249851	-0.67249851	0.75452386	-0.57896652	0.65315400	-0.60603835	0
1	0.57896652	-0.75452386	0.67249851	-0.67249851	0.55553348	-0.69661695	0
2	0.94292010	-0.12413779	0.89100652	0.00000000	0.88105472	-0.13279763	0
2	0.91865005	-0.24615154	0.88105472	-0.13279763	0.85142160	-0.26262878	0
2	0.87866165	-0.36395357	0.85142160	-0.26262878	0.80276914	-0.38659324	0
2	0.82363910	-0.47552826	0.80276914	-0.38659324	0.73618414	-0.50192185	0
2	0.75452386	-0.57896652	0.73618414	-0.50192185	0.65315400	-0.60603835	0
2	0.67249851	-0.67249851	0.65315400	-0.60603835	0.55553348	-0.69661695	0
3	0.47552826	-0.82363910	0.57896652	-0.75452386	0.44550326	-0.77163428	0
4	0.44550326	-0.77163428	0.57896652	-0.75452386	0.55553348	-0.69661695	0
1	0.88105472	-0.13279763	0.89100652	0.00000000	0.80901699	0.00000000	0
1	0.85142160	-0.26262878	0.88105472	-0.13279763	0.79672621	-0.14048433	0
1	0.80276914	-0.38659324	0.85142160	-0.26262878	0.76022730	-0.27670011	0
1	0.73618414	-0.50192185	0.80276914	-0.38659324	0.70062927	-0.40450850	0
1	0.65315400	-0.60603835	0.73618414	-0.50192185	0.61974297	-0.52002610	0
1	0.55553348	-0.69661695	0.65315400	-0.60603835	0.52002610	-0.61974297	0
2	0.88105472	-0.13279763	0.80901699	0.00000000	0.79672621	-0.14048433	0
2	0.85142160	-0.26262878	0.79672621	-0.14048433	0.76022730	-0.27670011	0
2	0.80276914	-0.38659324	0.76022730	-0.27670011	0.70062927	-0.40450850	0
2	0.73618414	-0.50192185	0.70062927	-0.40450850	0.61974297	-0.52002610	0
2	0.65315400	-0.60603835	0.61974297	-0.52002610	0.52002610	-0.61974297	0
3	0.44550326	-0.77163428	0.55553348	-0.69661695	0.40450850	-0.70062927	0
4	0.40450850	-0.70062927	0.55553348	-0.69661695	0.52002610	-0.61974297	0
1	0.79672621	-0.14048433	0.80901699	0.00000000	0.70710678	0.00000000	0
1	0.76022730	-0.27670011	0.79672621	-0.14048433	0.69165480	-0.14701577	0
1	0.70062927	-0.40450850	0.76022730	-0.27670011	0.64597419	-0.28760624	0
1	0.61974297	-0.52002610	0.70062927	-0.40450850	0.57206140	-0.41562694	0
1	0.52002610	-0.61974297	0.61974297	-0.52002610	0.47314679	-0.52548275	0
2	0.79672621	-0.14048433	0.70710678	0.00000000	0.69165480	-0.14701577	0
2	0.76022730	-0.27670011	0.69165480	-0.14701577	0.64597419	-0.28760624	0
2	0.70062927	-0.40450850	0.64597419	-0.28760624	0.57206140	-0.41562694	0
2	0.61974297	-0.52002610	0.57206140	-0.41562694	0.47314679	-0.52548275	0
3	0.40450850	-0.70062927	0.52002610	-0.61974297	0.35355339	-0.61237244	0
4	0.35355339	-0.61237244	0.52002610	-0.61974297	0.47314679	-0.52548275	0
1	0.69165480	-0.14701577	0.70710678	0.00000000	0.58778525	0.00000000	0
1	0.64597419	-0.28760624	0.69165480	-0.14701577	0.56775696	-0.15213002	0
1	0.57206140	-0.41562694	0.64597419	-0.28760624	0.50903696	-0.29389263	0
1	0.47314679	-0.52548275	0.57206140	-0.41562694	0.41562694	-0.41562694	0
2	0.69165480	-0.14701577	0.58778525	0.00000000	0.56775696	-0.15213002	0
2	0.64597419	-0.28760624	0.56775696	-0.15213002	0.50903696	-0.29389263	0
2	0.57206140	-0.41562694	0.50903696	-0.29389263	0.41562694	-0.41562694	0
3	0.35355339	-0.61237244	0.47314679	-0.52548275	0.29389263	-0.50903696	0
4	0.29389263	-0.50903696	0.47314679	-0.52548275	0.41562694	-0.41562694	0
1	0.56775696	-0.15213002	0.58778525	0.00000000	0.45399050	0.00000000	0
1	0.50903696	-0.29389263	0.56775696	-0.15213002	0.42661152	-0.15527390	0
1	0.41562694	-0.41562694	0.50903696	-0.29389263	0.34777690	-0.29181947	0
2	0.56775696	-0.15213002	0.45399050	0.00000000	0.42661152	-0.15527390	0
2	0.50903696	-0.29389263	0.42661152	-0.15527390	0.34777690	-0.29181947	0
3	0.29389263	-0.50903696	0.41562694	-0.41562694	0.22699525	-0.39316731	0
4	0.22699525	-0.39316731	0.41562694	-0.41562694	0.34777690	-0.29181947	0
1	0.42661152	-0.15527390	0.45399050	0.00000000	0.30901699	0.00000000	0
1	0.34777690	-0.29181947	0.42661152	-0.15527390	0.26761657	-0.15450850	0
2	0.42661152	-0.15527390	0.30901699	0.00000000	0.26761657	-0.15450850	0
3	0.22699525	-0.39316731	0.34777690	-0.29181947	0.15450850	-0.26761657	0
4	0.15450850	-0.26761657	0.34777690	-0.29181947	0.26761657	-0.15450850	0
1	0.26761657	-0.15450850	0.30901699	0.00000000	0.15643447	0.00000000	0
3	0.15450850	-0.26761657	0.26761657	-0.15450850	0.07821723	-0.13547622	0
4	0.07821723	-0.13547622	0.26761657	-0.15450850	0.15643447	0.00000000	0
5	0.07821723	-0.13547622	0.15643447	0.00000000	0.00000000	0.00000000	0
6	1.00000000	0.00000000	0.99452190	-0.10452846	1.08003361	-0.05660216	0
6	0.99452190	-0.10452846	0.97814760	-0.20791169	1.06820053	-0.16918634	0
6	0.97814760	-0.20791169	0.95105652	-0.30901699	1.04466403	-0.27991688	0
6	0.95105652	-0.30901699	0.91354546	-0.40673664	1.00968197	-0.38758059	0
6	0.91354546	-0.40673664	0.86602540	-0.50000000	0.96363762	-0.49099789	0
6	0.86602540	-0.50000000	0.80901699	-0.58778525	0.90703546	-0.58903571	0
6	0.80901699	-0.58778525	0.74314483	-0.66913061	0.84049563	-0.68061994	0
6	0.74314483	-0.66913061	0.66913061	-0.74314483	0.76474715	-0.76474715	0
6	0.66913061	-0.74314483	0.58778525	-0.80901699	0.68061994	-0.84049563	0
7	0.58778525	-0.80901699	0.50000000	-0.86602540	0.58903571	-0.90703546	0
1	0.40673664	-0.91354546	0.50000000	-0.86602540	0.49384417	-0.85536319	0
1	0.30901699	-0.95105652	0.40673664	-0.91354546	0.39120337	-0.90691134	0
1	0.20791169	-0.97814760	0.30901699	-0.95105652	0.28327221	-0.94619507	0
