NAME_ID s	iID i	N.X d	N.Y d	N.Z d	D.X d	D.Y d	D.Z d	S.X d	S.Y d	S.Z d	NC.X d	NC.Y d	NC.Z d	DC.X d	DC.Y d	DC.Z d	SC.X d	SC.Y d	SC.Z d	LPITCH  d	LPITCHSENSE s	PITCHANGLE  d	MISFIT d	LINEATION s	OFFSET s	DEPTH d	GC s	COLOR s	LOC s	LOCX d	LOCY d	FORMATION s	DATATYPE s	DIPDIR d	DIP d	LDIR d	LDIP d	corr.DIPDIR d	corr.DIP d	corrL.DIPDIR d	corrL.DIP d	PALEON d	COMMENT s	DATAGROUP s	PSCOLOR s	DASHED s	ptnP.X d	ptnP.Y d	ptnP.Z d	ptnT.X d	ptnT.Y d	ptnT.Z d	ptnN.X d	ptnN.Y d	ptnN.Z d	avD.X d	avD.Y d	avD.Z d	avS0D.X d	avS0D.Y d	avS0D.Z d	avS0N.X d	avS0N.Y d	avS0N.Z d	avS0d.DIPDIR d	avS0d.DIP d	avd.DIPDIR d	avd.DIP d	avS0offset s	fold_great_circle_N.X d	fold_great_circle_N.Y d	fold_great_circle_N.Z d	SHEAR_S.X d	SHEAR_S.Y d	SHEAR_S.Z d	NORMAL_S.X d	NORMAL_S.Y d	NORMAL_S.Z d	UPSILON.X d	UPSILON.Y d	UPSILON.Z d	lambda d	ANG d	RUP d
ANG_001	0	0.42402405	-0.76495963	0.48480962	0.23504037	-0.42402405	-0.87461971	0.87461971	0.48480962	0.00000000	0.64992262	-0.56523789	0.50804205	0.38334569	-0.33339586	-0.86133227	0.65623675	0.75455505	-0.00000000	80.00000000	E	80.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	151.00000000	61.00000000	NAN	NAN	151.00000000	61.00000000	131.01349355	59.46650063	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.20737111	-0.27807916	-0.62013966	0.14178727	-0.25579100	0.16211305	0.12461600	-0.01065012	-0.12579597	0.86602540	6.24336009	3.63351900
ANG_002	1	0.67545705	-0.52772488	0.51503807	0.40585554	-0.31708910	-0.85716730	0.61566148	0.78801075	-0.00000000	0.46100149	-0.70714808	0.53611493	0.29278119	-0.44910844	-0.84414500	0.83770926	0.54611647	-0.00000000	80.00000000	S	100.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	128.00000000	59.00000000	NAN	NAN	128.00000000	59.00000000	146.89900763	57.58044546	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.23867114	-0.33933695	-0.66070582	0.17336614	-0.13544847	0.13219221	0.01488481	-0.04960236	-0.07034519	0.86602540	1.11768562	0.88108254
ANG_003	2	-0.13705875	0.97522367	0.17364818	-0.02416716	0.17195825	-0.98480775	-0.99026807	-0.13917310	0.00000000	-0.82796152	0.10944949	0.55000048	-0.54525704	0.07207836	-0.83516434	-0.13105144	-0.99137557	-0.00000000	58.00000000	W	58.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	352.00000000	80.00000000	NAN	NAN	352.00000000	80.00000000	277.53035531	56.63295428	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.24536991	0.02420266	-0.32959228	-0.06961811	0.49535862	0.08820348	-0.22683653	0.03821903	-0.39368125	0.86602540	3.60097249	24.00627472
ANG_004	3	-0.54498500	0.75010750	0.37460659	-0.22018823	0.30306310	-0.92718385	-0.80901699	-0.58778525	-0.00000000	-0.82573076	0.37506989	0.42129714	-0.38358068	0.17423302	-0.90692266	-0.41356326	-0.91047539	-0.00000000	78.00000000	W	78.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	324.00000000	68.00000000	NAN	NAN	324.00000000	68.00000000	294.42887040	65.08349126	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.21592248	0.12722188	-0.56887573	-0.26026472	0.35822365	0.17889828	-0.11626813	0.02366834	-0.21654234	0.86602540	2.75159339	7.04009991
ANG_005	4	-0.66214689	0.59619974	0.45399050	-0.33738069	0.30377894	-0.89100652	-0.66913061	-0.74314483	-0.00000000	-0.83384788	0.25352028	0.49033171	-0.46912819	0.14263214	-0.87153589	-0.29088908	-0.95675678	-0.00000000	78.00000000	W	78.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	312.00000000	63.00000000	NAN	NAN	312.00000000	63.00000000	286.91119174	60.63761377	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.24781517	0.19837960	-0.62195995	-0.25507983	0.22967491	0.17489144	-0.15846176	-0.07485654	-0.13281227	0.86602540	10.49039714	5.58329223
ANG_006	5	-0.37437839	-0.92661904	0.03489950	-0.01307358	-0.03235825	-0.99939083	0.92718385	-0.37460659	-0.00000000	-0.81153876	0.27430955	0.51590610	-0.48874123	0.16520022	-0.85664514	-0.32021374	-0.94734532	-0.00000000	59.00000000	W	121.00000000	NAN	PITCH	NORMAL	NAN	XXC		ANG002	0.00000000	0.00000000		STRIAE	202.00000000	88.00000000	NAN	NAN	202.00000000	88.00000000	288.67585167	58.94196051	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.16782263	-0.06556583	0.05944540	-0.13064033	-0.32334615	0.01217827	-0.59108495	0.20863343	-0.80132186	0.86602540	139.27079835	119.51451295
ANG_007	6	-0.23663532	0.94909244	0.20791169	-0.05029839	0.20173583	-0.97814760	-0.97029573	-0.24192190	0.00000000	-0.87295257	0.15440531	0.46272325	-0.45565052	0.08059414	-0.88650279	-0.17417352	-0.98471498	-0.00000000	65.00000000	W	65.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	346.00000000	78.00000000	NAN	NAN	346.00000000	78.00000000	280.03056574	62.43702594	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.23449048	0.02379274	-0.37549711	-0.12552223	0.50344218	0.11028590	-0.16011444	0.04600383	-0.39223682	0.86602540	5.01482698	20.96967470
ANG_008	7	-0.57948410	0.64358230	0.50000000	-0.33456530	0.37157241	-0.86602540	-0.74314483	-0.66913061	0.00000000	-0.74898497	0.40792922	0.52212572	-0.45852825	0.24973408	-0.85286853	-0.47830259	-0.87819510	-0.00000000	80.00000000	W	80.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	318.00000000	60.00000000	NAN	NAN	318.00000000	60.00000000	298.57459985	58.52505111	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.30346515	0.23510630	-0.65432697	-0.17442937	0.19372344	0.15050401	-0.09363196	-0.01883024	-0.08427885	0.86602540	4.84203437	1.87343765
ANG_009	8	0.16688531	-0.85855048	0.48480962	0.09250604	-0.47590230	-0.87461971	0.98162718	0.19080900	0.00000000	0.28704027	-0.82392066	0.48863344	0.16075555	-0.46143287	-0.87248918	0.94433338	0.32899007	-0.00000000	86.00000000	E	86.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	169.00000000	61.00000000	NAN	NAN	169.00000000	61.00000000	160.79251180	60.74919917	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.19983324	-0.27999750	-0.56463653	0.04670563	-0.24027966	0.13568205	-0.06061485	-0.11961508	-0.19096127	0.86602540	8.46735782	6.28712897
ANG_010	9	0.29710050	-0.77397325	0.55919290	0.20039681	-0.52205155	-0.82903757	0.93358043	0.35836795	0.00000000	0.34455236	-0.75349177	0.55994091	0.23285622	-0.50922667	-0.82853255	0.90942930	0.41585857	-0.00000000	88.00000000	E	88.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	159.00000000	56.00000000	NAN	NAN	159.00000000	56.00000000	155.42660371	55.94828871	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.22671658	-0.36649653	-0.62771920	0.05666261	-0.14761114	0.10664852	-0.02505717	-0.07450670	-0.08981104	0.86602540	4.05509325	1.64488620
ANG_011	10	-0.59136773	0.73027833	0.34202014	-0.21524025	0.26579957	-0.93969262	-0.77714596	-0.62932039	0.00000000	-0.87630416	0.04133791	0.47998145	-0.47944829	0.02261702	-0.87727864	-0.04712061	-0.99888921	-0.00000000	69.00000000	W	69.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	321.00000000	70.00000000	NAN	NAN	321.00000000	70.00000000	272.70081240	61.31580954	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.17944850	0.10396294	-0.53225502	-0.31182163	0.38506764	0.18034342	-0.23576590	-0.08437603	-0.22749057	0.86602540	13.55351442	13.21633664
ANG_012	11	-0.60365126	0.47162405	0.64278761	-0.50652355	0.39573957	-0.76604444	-0.61566148	-0.78801075	0.00000000	-0.54776754	0.53284083	0.64500494	-0.46234331	0.44974442	-0.76417840	-0.69727282	-0.71680584	-0.00000000	86.00000000	N	94.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	308.00000000	50.00000000	NAN	NAN	308.00000000	50.00000000	314.20860967	49.83395389	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.44198900	0.32038473	-0.65014999	-0.01835136	0.01433766	0.01954113	0.04158795	0.06910537	-0.01164792	0.86602540	5.32625088	0.76681155
ANG_013	12	-0.38857298	0.67302814	0.62932039	-0.31466020	0.54500745	-0.77714596	-0.86602540	-0.50000000	-0.00000000	-0.55941772	0.51867022	0.64655473	-0.47412444	0.43958963	-0.76286760	-0.67989546	-0.73330905	-0.00000000	79.00000000	W	79.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	330.00000000	51.00000000	NAN	NAN	330.00000000	51.00000000	312.83547427	49.71765565	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.39999062	0.38262853	-0.65617660	-0.00291235	0.00504433	0.00471674	-0.01061319	-0.00193275	-0.00448612	0.86602540	0.59198448	0.01576173
ANG_014	13	-0.13812343	0.87207704	0.46947156	-0.07344153	0.46369159	-0.88294759	-0.98768834	-0.15643447	-0.00000000	-0.49574557	0.70312366	0.50975823	-0.29374076	0.41661711	-0.86031770	-0.81728373	-0.57623546	-0.00000000	77.00000000	W	77.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	351.00000000	62.00000000	NAN	NAN	351.00000000	62.00000000	324.81380199	59.35227333	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.29040101	0.28450912	-0.61393507	-0.02507427	0.15831268	0.08522562	0.03601404	0.07629188	-0.13112192	0.86602540	6.21330458	2.80712531
ANG_015	14	-0.46789094	0.74878203	0.46947156	-0.24878203	0.39813447	-0.88294759	-0.84804810	-0.52991926	-0.00000000	-0.61677724	0.62503141	0.47845750	-0.33606434	0.34056180	-0.87811071	-0.71179112	-0.70239120	-0.00000000	84.00000000	W	84.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	328.00000000	62.00000000	NAN	NAN	328.00000000	62.00000000	315.38083325	61.41529303	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.29581975	0.21776333	-0.64214465	-0.15047595	0.24081186	0.15098429	0.00477950	0.07717183	-0.11832154	0.86602540	4.55179596	2.30689785
ANG_016	15	-0.70758221	0.51408857	0.48480962	-0.39221922	0.28496394	-0.87461971	-0.58778525	-0.80901699	-0.00000000	-0.83839234	0.10399685	0.53505415	-0.53098469	0.06586503	-0.84481776	-0.12309974	-0.99239430	-0.00000000	75.00000000	S	75.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	306.00000000	61.00000000	NAN	NAN	306.00000000	61.00000000	277.07103146	57.65241598	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.27051981	0.22182843	-0.63005035	-0.23735826	0.17245087	0.16262926	-0.18932642	-0.16478765	-0.10158330	0.86602540	16.62651570	8.46610595
ANG_017	16	0.70062927	-0.50903696	0.50000000	0.40450850	-0.29389263	-0.86602540	0.58778525	0.80901699	0.00000000	0.38796329	-0.74537898	0.54212051	0.25029474	-0.48088168	-0.84030075	0.88703834	0.46169576	-0.00000000	76.00000000	S	104.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	126.00000000	60.00000000	NAN	NAN	126.00000000	60.00000000	152.50341389	57.17189152	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.22788870	-0.32965959	-0.65494882	0.19316597	-0.14034330	0.13785177	-0.01112709	-0.08679616	-0.07277298	0.86602540	4.04410436	1.49571738
ANG_018	17	0.69244212	-0.56072857	0.45399050	0.35281688	-0.28570548	-0.89100652	0.62932039	0.77714596	-0.00000000	0.57164231	-0.67903401	0.46058428	0.29662542	-0.35235102	-0.88761598	0.76500877	0.64401986	-0.00000000	85.00000000	S	95.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	129.00000000	63.00000000	NAN	NAN	129.00000000	63.00000000	139.90777264	62.57518346	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.18152415	-0.28695686	-0.63129048	0.25178456	-0.20389112	0.16507921	0.07536100	-0.01818807	-0.13740750	0.86602540	3.72786405	2.87415446
ANG_019	18	0.32528049	-0.89370079	0.30901699	0.10569004	-0.29038099	-0.95105652	0.93969262	0.34202014	-0.00000000	0.83115550	-0.16511560	0.53095892	0.52078203	-0.10345746	-0.84739756	0.19485022	0.98083301	-0.00000000	63.00000000	E	63.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	160.00000000	72.00000000	NAN	NAN	160.00000000	72.00000000	101.23597377	57.92973195	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.17310782	-0.08513985	-0.42844939	0.17357331	-0.47688875	0.16489493	0.27790266	-0.00445694	-0.30541842	0.86602540	10.48773494	19.69112712
